                              Open     High      Low    Close     upper  \
Date                                                                      
2023-02-10 15:21:00+00:00  1.07017  1.07017  1.06993  1.06997  1.070952   
2023-02-10 15:22:00+00:00  1.06996  1.07040  1.06992  1.07012  1.070948   
2023-02-10 15:23:00+00:00  1.07012  1.07014  1.06989  1.06992  1.070842   
2023-02-10 15:24:00+00:00  1.06997  1.07013  1.06983  1.07010  1.070814   
2023-02-10 15:25:00+00:00  1.07009  1.07045  1.07008  1.07010  1.070787   
2023-02-10 15:26:00+00:00  1.07010  1.07024  1.07004  1.07010  1.070690   
2023-02-10 15:27:00+00:00  1.07010  1.07018  1.06994  1.06996  1.070632   
2023-02-10 15:28:00+00:00  1.06994  1.06994  1.06938  1.06948  1.070645   
2023-02-10 15:29:00+00:00  1.06949  1.06986  1.06948  1.06978  1.070615   
2023-02-10 15:30:00+00:00  1.06978  1.06994  1.06947  1.06989  1.070613   
2023-02-10 15:31:00+00:00  1.06988  1.07006  1.06974  1.06993  1.070571   
2023-02-10 15:32:00+00:00  1.06994  1.06994  1.06960  1.06968  1.070588   
2023-02-10 15:33:00+00:00  1.06968  1.06978  1.06954  1.06958  1.070593   
2023-02-10 15:34:00+00:00  1.06960  1.06972  1.06948  1.06968  1.070558   
2023-02-10 15:35:00+00:00  1.06972  1.06983  1.06957  1.06966  1.070539   
2023-02-10 15:36:00+00:00  1.06967  1.06982  1.06958  1.06972  1.070502   
2023-02-10 15:37:00+00:00  1.06972  1.06989  1.06958  1.06964  1.070440   
2023-02-10 15:38:00+00:00  1.06964  1.06980  1.06958  1.06958  1.070326   
2023-02-10 15:39:00+00:00  1.06958  1.06980  1.06948  1.06975  1.070256   
2023-02-10 15:40:00+00:00  1.06976  1.06976  1.06927  1.06930  1.070244   
2023-02-10 15:41:00+00:00  1.06932  1.06932  1.06912  1.06920  1.070268   
2023-02-10 15:42:00+00:00  1.06918  1.06919  1.06887  1.06896  1.070290   
2023-02-10 15:43:00+00:00  1.06895  1.06905  1.06870  1.06882  1.070339   
2023-02-10 15:44:00+00:00  1.06884  1.06888  1.06858  1.06858  1.070371   
2023-02-10 15:45:00+00:00  1.06858  1.06871  1.06838  1.06848  1.070382   
2023-02-10 15:46:00+00:00  1.06849  1.06860  1.06835  1.06845  1.070361   
2023-02-10 15:47:00+00:00  1.06844  1.06846  1.06801  1.06808  1.070392   
2023-02-10 15:48:00+00:00  1.06805  1.06815  1.06790  1.06815  1.070434   
2023-02-10 15:49:00+00:00  1.06814  1.06826  1.06804  1.06812  1.070420   
2023-02-10 15:50:00+00:00  1.06812  1.06834  1.06798  1.06824  1.070352   
2023-02-10 15:51:00+00:00  1.06825  1.06825  1.06803  1.06818  1.070260   
2023-02-10 15:52:00+00:00  1.06817  1.06817  1.06802  1.06810  1.070196   
2023-02-10 15:53:00+00:00  1.06810  1.06816  1.06796  1.06800  1.070138   
2023-02-10 15:54:00+00:00  1.06798  1.06806  1.06794  1.06802  1.070040   
2023-02-10 15:55:00+00:00  1.06804  1.06808  1.06758  1.06764  1.069955   
2023-02-10 15:56:00+00:00  1.06762  1.06776  1.06762  1.06772  1.069818   
